"notation","title","description","id"
"I","Reproduzieren","Das Lösen der Aufgabe erfordert Grundwissen und das Ausführen von Routinetätigkeiten.",
"II","Zusammenhänge herstellen","Das Lösen der Aufgabe erfordert das Erkennen und Nutzen von Zusammenhängen.",
"III","Verallgemeinern und Reflektieren","Das Lösen der Aufgabe erfordert komplexe Tätigkeiten wie Strukturieren, Entwickeln von Strategien, Beurteilen und Verallgemeinern."
